%# Station Name        Ft. Pierce Inlet
%# Station ID          FPI0901             
%# Orientation         Up (Bottom Mounted)
%# Time Zone           UTC            
%# Approx. Depth       6.6ft / 2.01m  
%# Blank rows indicate missing data. See our data
%# disclaimer online.
%#
%# Date      Time        Speed (knots) Dir (true)
2008 11 24 00 05 00      0.76         261
2008 11 24 00 15 00      0.32         262
2008 11 24 00 25 00      0.15          79
2008 11 24 00 35 00      0.59          75
2008 11 24 00 45 00      1.03          78
2008 11 24 00 55 00      1.63          80
2008 11 24 01 05 00      2.04          79
2008 11 24 01 15 00      2.29          78
2008 11 24 01 25 00      2.55          79
2008 11 24 01 35 00      2.70          81
2008 11 24 01 45 00      2.88          80
2008 11 24 01 55 00      3.09          81
2008 11 24 02 05 00      2.93          81
2008 11 24 02 15 00      2.90          82
2008 11 24 02 25 00      3.00          83
2008 11 24 02 35 00      2.96          81
2008 11 24 02 45 00      3.06          82
2008 11 24 02 55 00      3.10          82
2008 11 24 03 05 00      3.09          83
2008 11 24 03 15 00      3.13          83
2008 11 24 03 25 00      3.16          82
2008 11 24 03 35 00      3.07          82
2008 11 24 03 45 00      3.10          81
2008 11 24 03 55 00      3.09          81
2008 11 24 04 05 00      3.06          80
2008 11 24 04 15 00      3.18          81
2008 11 24 04 25 00      3.07          80
2008 11 24 04 35 00      2.96          79
2008 11 24 04 45 00      2.85          79
2008 11 24 04 55 00      2.77          77
2008 11 24 05 05 00      2.57          77
2008 11 24 05 15 00      2.43          77
2008 11 24 05 25 00      2.30          78
2008 11 24 05 35 00      2.16          78
2008 11 24 05 45 00      1.99          79
2008 11 24 05 55 00      1.74          85
2008 11 24 06 05 00      1.51          88
2008 11 24 06 15 00      1.23          90
2008 11 24 06 25 00      0.81          84
2008 11 24 06 35 00      0.50          73
2008 11 24 06 45 00      0.28          34
2008 11 24 06 55 00      0.11         257
2008 11 24 07 05 00      0.49         261
2008 11 24 07 15 00      0.74         257
2008 11 24 07 25 00      1.20         262
2008 11 24 07 35 00      2.05         261
2008 11 24 07 45 00      2.53         261
2008 11 24 07 55 00      2.61         259
2008 11 24 08 05 00      2.62         258
2008 11 24 08 15 00      2.73         258
2008 11 24 08 25 00      2.86         257
2008 11 24 08 35 00      2.95         257
2008 11 24 08 45 00      3.00         258
2008 11 24 08 55 00      3.09         258
2008 11 24 09 05 00      3.15         258
2008 11 24 09 15 00      3.28         258
2008 11 24 09 25 00      3.32         257
2008 11 24 09 35 00      3.42         258
2008 11 24 09 45 00      3.36         258
2008 11 24 09 55 00      3.39         259
2008 11 24 10 05 00      3.38         258
2008 11 24 10 15 00      3.23         258
2008 11 24 10 25 00      3.21         259
2008 11 24 10 35 00      3.18         258
2008 11 24 10 45 00      3.13         258
2008 11 24 10 55 00      3.09         257
2008 11 24 11 05 00      3.02         257
2008 11 24 11 15 00      2.92         257
2008 11 24 11 25 00      2.86         257
2008 11 24 11 35 00      2.74         257
2008 11 24 11 45 00      2.58         257
2008 11 24 11 55 00      2.48         258
2008 11 24 12 05 00      2.27         257
2008 11 24 12 15 00      2.09         257
2008 11 24 12 25 00      1.93         257
2008 11 24 12 35 00      1.60         256
2008 11 24 12 45 00      1.43         257
2008 11 24 12 55 00      1.19         257
2008 11 24 13 05 00      0.91         255
2008 11 24 13 15 00      0.64         258
2008 11 24 13 25 00      0.27         260
2008 11 24 13 35 00      0.17          64
2008 11 24 13 45 00      0.66          78
2008 11 24 13 55 00      1.28          80
2008 11 24 14 05 00      1.89          79
2008 11 24 14 15 00      2.27          79
2008 11 24 14 25 00      2.58          81
2008 11 24 14 35 00      2.80          80
2008 11 24 14 45 00      2.89          81
2008 11 24 14 55 00      2.94          81
2008 11 24 15 05 00      2.96          80
2008 11 24 15 15 00      2.98          81
2008 11 24 15 25 00      3.03          81
2008 11 24 15 35 00      3.12          81
2008 11 24 15 45 00      3.01          81
2008 11 24 15 55 00      2.97          81
2008 11 24 16 05 00      2.98          81
2008 11 24 16 15 00      2.94          82
2008 11 24 16 25 00      2.99          81
2008 11 24 16 35 00      3.00          81
2008 11 24 16 45 00      3.04          82
2008 11 24 16 55 00      2.86          81
2008 11 24 17 05 00      2.80          81
2008 11 24 17 15 00      2.76          81
2008 11 24 17 25 00      2.64          81
2008 11 24 17 35 00      2.63          81
2008 11 24 17 45 00      2.59          80
2008 11 24 17 55 00      2.55          80
2008 11 24 18 05 00      2.49          79
2008 11 24 18 15 00      2.42          79
2008 11 24 18 25 00      2.30          78
2008 11 24 18 35 00      2.04          78
2008 11 24 18 45 00      1.80          77
2008 11 24 18 55 00      1.69          78
2008 11 24 19 05 00      1.53          81
2008 11 24 19 15 00      1.34          82
2008 11 24 19 25 00      1.03          89
2008 11 24 19 35 00      0.68          96
2008 11 24 19 45 00      0.29          95
2008 11 24 19 55 00      0.09         332
2008 11 24 20 05 00      0.31         260
2008 11 24 20 15 00      0.60         260
2008 11 24 20 25 00      1.01         263
2008 11 24 20 35 00      1.45         258
2008 11 24 20 45 00      1.83         262
2008 11 24 20 55 00      2.09         258
2008 11 24 21 05 00      2.23         258
2008 11 24 21 15 00      2.33         257
2008 11 24 21 25 00      2.31         257
2008 11 24 21 35 00      2.39         257
2008 11 24 21 45 00      2.42         258
2008 11 24 21 55 00      2.45         258
2008 11 24 22 05 00      2.43         258
2008 11 24 22 15 00      2.43         259
2008 11 24 22 25 00      2.34         258
2008 11 24 22 35 00      2.38         258
2008 11 24 22 45 00      2.30         258
2008 11 24 22 55 00      2.19         256
2008 11 24 23 05 00      2.16         258
2008 11 24 23 15 00      2.14         257
2008 11 24 23 25 00      2.03         258
2008 11 24 23 35 00      1.86         257
2008 11 24 23 45 00      1.74         257
2008 11 24 23 55 00      1.62         256
2008 11 25 00 05 00      1.40         256
2008 11 25 00 15 00      1.24         258
2008 11 25 00 25 00      1.05         258
2008 11 25 00 35 00      0.79         256
2008 11 25 00 45 00      0.49         253
2008 11 25 00 55 00      0.18         245
2008 11 25 01 05 00      0.19          82
2008 11 25 01 15 00      0.58          77
2008 11 25 01 25 00      1.03          80
2008 11 25 01 35 00      1.52          80
2008 11 25 01 45 00      1.98          78
2008 11 25 01 55 00      2.25          79
2008 11 25 02 05 00      2.42          81
2008 11 25 02 15 00      2.57          81
2008 11 25 02 25 00      2.72          81
2008 11 25 02 35 00      2.98          80
2008 11 25 02 45 00      3.06          80
2008 11 25 02 55 00      3.03          81
2008 11 25 03 05 00      3.07          81
2008 11 25 03 15 00      2.96          81
2008 11 25 03 25 00      3.02          81
2008 11 25 03 35 00      3.00          82
2008 11 25 03 45 00      3.12          82
2008 11 25 03 55 00      3.00          82
2008 11 25 04 05 00      3.16          82
2008 11 25 04 15 00      3.06          82
2008 11 25 04 25 00      3.03          82
2008 11 25 04 35 00      3.11          82
2008 11 25 04 45 00      2.96          82
2008 11 25 04 55 00      2.95          82
2008 11 25 05 05 00      2.87          81
2008 11 25 05 15 00      2.77          81
2008 11 25 05 25 00      2.69          82
2008 11 25 05 35 00      2.62          80
2008 11 25 05 45 00      2.50          80
2008 11 25 05 55 00      2.41          80
2008 11 25 06 05 00      2.23          78
2008 11 25 06 15 00      2.07          79
2008 11 25 06 25 00      1.84          78
2008 11 25 06 35 00      1.75          80
2008 11 25 06 45 00      1.52          81
2008 11 25 06 55 00      1.27          82
2008 11 25 07 05 00      1.10          86
2008 11 25 07 15 00      0.91          94
2008 11 25 07 25 00      0.44          82
2008 11 25 07 35 00      0.20          57
2008 11 25 07 45 00      0.12         269
2008 11 25 07 55 00      0.59         259
2008 11 25 08 05 00      0.88         256
2008 11 25 08 15 00      1.50         257
2008 11 25 08 25 00      2.23         257
2008 11 25 08 35 00      2.60         258
2008 11 25 08 45 00      2.76         258
2008 11 25 08 55 00      2.71         258
2008 11 25 09 05 00      2.75         258
2008 11 25 09 15 00      2.85         257
2008 11 25 09 25 00      2.84         258
2008 11 25 09 35 00      2.83         259
2008 11 25 09 45 00      2.93         258
2008 11 25 09 55 00      3.00         259
2008 11 25 10 05 00      3.03         258
2008 11 25 10 15 00      3.10         257
2008 11 25 10 25 00      3.20         258
2008 11 25 10 35 00      3.19         258
2008 11 25 10 45 00      3.17         258
2008 11 25 10 55 00      3.14         258
2008 11 25 11 05 00      3.13         259
2008 11 25 11 15 00      3.09         259
2008 11 25 11 25 00      2.95         258
2008 11 25 11 35 00      2.92         259
2008 11 25 11 45 00      2.89         258
2008 11 25 11 55 00      2.81         259
2008 11 25 12 05 00      2.66         256
2008 11 25 12 15 00      2.56         258
2008 11 25 12 25 00      2.48         257
2008 11 25 12 35 00      2.34         258
2008 11 25 12 45 00      2.26         257
2008 11 25 12 55 00      2.11         258
2008 11 25 13 05 00      2.01         258
2008 11 25 13 15 00      1.83         259
2008 11 25 13 25 00      1.62         258
2008 11 25 13 35 00      1.40         261
2008 11 25 13 45 00      1.02         262
2008 11 25 13 55 00      0.70         258
2008 11 25 14 05 00      0.22         267
2008 11 25 14 15 00      0.42          70
2008 11 25 14 25 00      0.87          78
2008 11 25 14 35 00      1.29          80
2008 11 25 14 45 00      1.83          80
2008 11 25 14 55 00      2.10          79
2008 11 25 15 05 00      2.43          81
2008 11 25 15 15 00      2.60          81
2008 11 25 15 25 00      2.79          82
2008 11 25 15 35 00      2.89          81
2008 11 25 15 45 00      2.94          81
2008 11 25 15 55 00      2.93          81
2008 11 25 16 05 00      2.99          81
2008 11 25 16 15 00      3.11          82
2008 11 25 16 25 00      3.15          81
2008 11 25 16 35 00      3.12          82
2008 11 25 16 45 00      3.12          82
2008 11 25 16 55 00      3.18          82
2008 11 25 17 05 00      3.24          81
2008 11 25 17 15 00      3.11          82
2008 11 25 17 25 00      3.15          82
2008 11 25 17 35 00      2.96          82
2008 11 25 17 45 00      2.90          82
2008 11 25 17 55 00      2.84          82
2008 11 25 18 05 00      2.78          82
2008 11 25 18 15 00      2.65          82
2008 11 25 18 25 00      2.57          81
2008 11 25 18 35 00      2.44          82
2008 11 25 18 45 00      2.28          81
2008 11 25 18 55 00      2.30          80
2008 11 25 19 05 00      2.01          80
2008 11 25 19 15 00      2.04          79
2008 11 25 19 25 00      1.89          81
2008 11 25 19 35 00      1.70          79
2008 11 25 19 45 00      1.47          79
2008 11 25 19 55 00      1.29          78
2008 11 25 20 05 00      0.93          75
